SIM,PCA_comp,Kernel,C,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
159,23,linear,0.005,82.51726130729689,82.57672882672884,84.36229708417027,84.44337382728231
160,23,linear,0.001,66.50271212904666,65.71030821030821,53.50329487607173,53.20855620815579
161,23,poly,1.0,57.94423659904086,56.834531209531214,28.223461502729176,26.21732410315588
162,23,poly,0.5,57.502854072249086,56.60677285677286,26.847498683667965,25.35885970718842
163,23,poly,0.1,56.42082104003813,55.69557757057757,23.391288977438478,22.12134692972642
164,23,poly,0.05,56.19305289412051,55.6954156954157,22.693595349578494,22.136806265876388
165,23,poly,0.01,55.45273798298709,54.78422040922041,19.99204754420257,18.93679245129793
166,23,poly,0.005,55.039865762285686,54.55646205646206,18.60290894380697,18.199724044569404
167,23,poly,0.001,54.01482292585496,53.702246827246825,15.127215821383619,14.823805031029282
168,22,rbf,1.0,85.10830266346281,84.39831002331003,87.03967479820267,86.52312150353715
169,22,rbf,0.5,84.51036692317831,84.45529008029007,86.58267110821687,86.56636155955267
170,22,rbf,0.1,84.31107866695055,84.05659155659156,86.37812490113681,86.17327504530877
171,22,rbf,0.05,83.41412943192303,83.4301346801347,85.46245888186841,85.49118454483704
172,22,rbf,0.01,82.9585931400878,82.74621212121212,84.88032713257873,84.69880413382045
173,22,rbf,0.005,56.8518315742515,55.96558534058534,43.85831752055661,43.258305348172414
174,22,rbf,0.001,56.8518315742515,55.96558534058534,43.85831752055661,43.258305348172414
175,22,sigmoid,1.0,82.24679867384495,82.06390831390831,84.1100370314372,83.93396093525487
176,22,sigmoid,0.5,82.11865437844085,82.12088837088837,83.99321398390268,83.99162308684183
177,22,sigmoid,0.1,82.07592947450598,82.17819217819218,83.94949920826488,84.06669964985699
178,22,sigmoid,0.05,82.18979833926451,82.12105024605026,84.02632663011325,83.98894008885918
179,22,sigmoid,0.01,81.30720564528394,81.03842916342916,83.03545210803883,82.81832558653389
180,22,sigmoid,0.005,49.07466212448419,49.08993783993784,65.53600423695306,65.53407221365035
181,22,sigmoid,0.001,49.97148969390962,49.545130795130795,39.94909763161084,39.642789505120696
182,22,linear,1.0,83.99787085196337,83.43045843045843,85.92697833335728,85.46641495330182
183,22,linear,0.5,84.01211586620839,83.54458041958041,85.94527444040936,85.56394382672241
184,22,linear,0.1,83.91246159929435,83.6013986013986,85.86250016460501,85.62019917275462
185,22,linear,0.05,83.89823686264968,83.54441854441855,85.84115259619865,85.56291749521978
186,22,linear,0.01,83.35725076294472,83.08922558922559,85.23113085485639,85.0175637598712
187,22,linear,0.005,82.51726130729689,82.57672882672884,84.36229708417027,84.44337382728231
188,22,linear,0.001,66.50271212904666,65.71030821030821,53.50329487607173,53.20855620815579
189,22,poly,1.0,57.94423659904086,56.834531209531214,28.223461502729176,26.21732410315588
190,22,poly,0.5,57.502854072249086,56.60677285677286,26.847498683667965,25.35885970718842
191,22,poly,0.1,56.42082104003813,55.69557757057757,23.391288977438478,22.12134692972642
192,22,poly,0.05,56.19305289412051,55.6954156954157,22.693595349578494,22.136806265876388
193,22,poly,0.01,55.45273798298709,54.78422040922041,19.99204754420257,18.93679245129793
194,22,poly,0.005,55.039865762285686,54.55646205646206,18.60290894380697,18.199724044569404
195,22,poly,0.001,54.01482292585496,53.702246827246825,15.127215821383619,14.823805031029282
196,21,rbf,1.0,85.10830266346281,84.39831002331003,87.03967479820267,86.52312150353715
197,21,rbf,0.5,84.51036692317831,84.45529008029007,86.58267110821687,86.56636155955267
198,21,rbf,0.1,84.31107866695055,84.05659155659156,86.37812490113681,86.17327504530877
199,21,rbf,0.05,83.41412943192303,83.4301346801347,85.46245888186841,85.49118454483704
200,21,rbf,0.01,82.9585931400878,82.74621212121212,84.88032713257873,84.69880413382045
201,21,rbf,0.005,56.8518315742515,55.96558534058534,43.85831752055661,43.258305348172414
202,21,rbf,0.001,56.8518315742515,55.96558534058534,43.85831752055661,43.258305348172414
203,21,sigmoid,1.0,82.24679867384495,82.06390831390831,84.1100370314372,83.93396093525487
204,21,sigmoid,0.5,82.11865437844085,82.12088837088837,83.99321398390268,83.99162308684183
205,21,sigmoid,0.1,82.07592947450598,82.17819217819218,83.94949920826488,84.06669964985699
206,21,sigmoid,0.05,82.18979833926451,82.12105024605026,84.02632663011325,83.98894008885918
207,21,sigmoid,0.01,81.30720564528394,81.03842916342916,83.03545210803883,82.81832558653389
208,21,sigmoid,0.005,49.07466212448419,49.08993783993784,65.53600423695306,65.53407221365035
209,21,sigmoid,0.001,49.97148969390962,49.545130795130795,39.94909763161084,39.642789505120696
210,21,linear,1.0,83.98363597651853,83.37347837347838,85.9162057005763,85.40916741494595
211,21,linear,0.5,84.02635074165323,83.54458041958041,85.95957129714107,85.56394382672241
212,21,linear,0.1,83.91246159929435,83.6013986013986,85.8588173439428,85.62019917275462
213,21,linear,0.05,83.91247173809452,83.54441854441855,85.85188700893683,85.56291749521978
214,21,linear,0.01,83.35725076294472,83.08922558922559,85.23113085485639,85.0175637598712
215,21,linear,0.005,82.51726130729689,82.57672882672884,84.36229708417027,84.44337382728231
216,21,linear,0.001,66.50271212904666,65.71030821030821,53.50329487607173,53.20855620815579
217,21,poly,1.0,57.94423659904086,56.834531209531214,28.223461502729176,26.21732410315588
218,21,poly,0.5,57.502854072249086,56.60677285677286,26.847498683667965,25.35885970718842
219,21,poly,0.1,56.42082104003813,55.69557757057757,23.391288977438478,22.12134692972642
220,21,poly,0.05,56.19305289412051,55.6954156954157,22.693595349578494,22.136806265876388
221,21,poly,0.01,55.45273798298709,54.78422040922041,19.99204754420257,18.93679245129793
222,21,poly,0.005,55.039865762285686,54.55646205646206,18.60290894380697,18.199724044569404
223,21,poly,0.001,54.01482292585496,53.702246827246825,15.127215821383619,14.823805031029282
224,20,rbf,1.0,85.10830266346281,84.39831002331003,87.03967479820267,86.52312150353715
225,20,rbf,0.5,84.49613204773347,84.45529008029007,86.56868096043361,86.56636155955267
226,20,rbf,0.1,84.31107866695055,84.05659155659156,86.37812490113681,86.17327504530877
227,20,rbf,0.05,83.41412943192303,83.4301346801347,85.46245888186841,85.49118454483704
228,20,rbf,0.01,82.9585931400878,82.74621212121212,84.88032713257873,84.69880413382045
229,20,rbf,0.005,56.8518315742515,55.96558534058534,43.85831752055661,43.258305348172414
230,20,rbf,0.001,56.8518315742515,55.96558534058534,43.85831752055661,43.258305348172414
231,20,sigmoid,1.0,82.2325637984001,82.06390831390831,84.09526288052517,83.93396093525487
232,20,sigmoid,0.5,82.11865437844085,82.12088837088837,83.99321398390268,83.99162308684183
233,20,sigmoid,0.1,82.07592947450598,82.17819217819218,83.94949920826488,84.06669964985699
234,20,sigmoid,0.05,82.18979833926451,82.12105024605026,84.02632663011325,83.98894008885918
